Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
EEF2K,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2178.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.268735747,0.491,0.0,1.0,1.0,0.225428314,1.0,0.297973778,0.658745467,18.99463712,235.0,0.04424606,3.93e-05,33.0,-0.43,0.015842,0.46,2.5973119,-1.32,1.15572745,0.061405495,0.059092497,0.0
EXOC3L1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2241.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.721825839,0.132,0.0,1.0,1.0,1.0,1.0,0.904977376,0.995335145,20.08146653,150.0,0.04626712,0.0,0.0,-39.090002,30.889803,0.21,2.5973119,-78.39,1.15572745,0.578606396,0.059092497,0.0
GLYR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1662.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.627498636,0.112,0.0,1.0,1.0,0.153069034,1.0,0.187055743,0.500626378,19.43112723,195.0,0.03258623,0.000197755,38.0,-0.245,0.0009245,5.5857964,2.5973119,-0.245,0.0009245,0.578606396,0.059092497,0.0
GP2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1614.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.424865154,0.430666667,0.0,3.0,3.0,0.715307582,1.0,0.332115576,0.69819736,17.89217517,848.0,-0.004925605,2.31e-08,2.0,16.605,6.58037,19.988,7.367111,-0.31,1.15572745,0.826915405,0.023051716,0.0
GPR114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1587.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.784886926,0.145,0.0,1.0,1.0,0.245098039,1.0,0.184399779,0.496155111,19.51538685,135.0,0.04342856,0.0,1.0,-0.43,0.015842,0.46,2.5973119,-1.32,1.15572745,0.578606396,0.059092497,0.0
GPR56,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2082.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.219339793,0.311,0.0,2.0,2.0,1.0,1.0,0.726216412,0.958538286,19.47220117,168.0,0.04141499,0.0,2.0,-18.43,16.019134,1.5566667,0.060690334,-78.39,1.15572745,1.425345469,0.062982114,0.0
GRIN2A,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4395.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.88954427,0.4755,0.0,2.0,2.0,0.158353127,1.0,0.064850843,0.242261049,16.73578341,922.0,-0.009447903,7.82e-05,16.0,-4.03,0.223342,5.5857964,2.5973119,-4.03,0.223342,0.720409636,0.773697551,0.0
GSPT1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1914.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.536801323,0.468,0.0,1.0,1.0,1.0,1.0,0.00732,0.043313501,19.10720277,294.0,0.05058537,3.18e-05,33.0,23.845,11.990304,48.33,2.5973119,-0.64,1.15572745,0.026923509,0.059092497,0.0
GTF3C1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6330.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.808011389,0.042,0.0,1.0,1.0,0.049094212,0.661862317,0.189645363,0.386008595,18.10777796,597.0,0.02547382,0.000297638,70.0,2.23,0.094178,2.23,0.094178,-6.6034935,1.15572745,0.103920157,0.059092497,0.0
HSD3B7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1110.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.584233838,0.285,0.0,1.0,1.0,1.0,1.0,0.00346,0.023066044,20.47092692,247.0,0.04262483,1.51e-05,13.0,-0.245,0.0009245,5.5857964,2.5973119,-0.245,0.0009245,1.664575401,0.059092497,0.0
