gene_id,gene,pvalue
850.0,NEDD8,0.9993986
2065.0,UBB,0.99939275
4630.0,MYBPC2,0.9993843
9375.0,GALNT12,0.99938214
1214.0,HDAC3,0.9993788
3648.0,AHCTF1,0.999371
5579.0,SGCG,0.9993709
3768.0,RPS7,0.999368
150.0,POU4F1,0.99936455
2137.0,XAF1,0.99936444
1996.0,RPL8,0.9993629
3729.0,MUL1,0.9993523
1778.0,PIAS4,0.99935156
8812.0,MRPS25,0.99934953
1328.0,BTRC,0.99934274
10874.0,IGHG1,0.99933404
10002.0,GAPDHS,0.9993274
1511.0,TERT,0.9993243
598.0,ACTN1,0.9993237
2863.0,NBR1,0.99932003
2631.0,CCDC106,0.9993162
4773.0,DPY30,0.9993111
1238.0,NTRK1,0.99930716
889.0,AGRN,0.9993024
2533.0,COPS8,0.9992963
2150.0,GPS2,0.9992919
2773.0,DTL,0.9992884
2333.0,ACTN4,0.99927825
5578.0,TOE1,0.9992699
2717.0,ABRAXAS2,0.99925154
9833.0,TIAF1,0.9992501
1122.0,OTUB1,0.9992446
4124.0,HAVCR2,0.9992442
2716.0,BABAM2,0.9992428
373.0,ITGB5,0.9992384
5362.0,STX5,0.99923825
3346.0,HIF1AN,0.99923074
1681.0,BTK,0.99923027
4070.0,NR5A1,0.9992167
7043.0,IGF2BP1,0.99921215
7571.0,TPR,0.9992042
3946.0,S100B,0.9992011
3748.0,PPM1G,0.99919814
355.0,PYCARD,0.99919575
8095.0,MYO1B,0.99918836
11516.0,WDR82,0.99918586
252.0,APPL1,0.99918467
2105.0,PSMC5,0.9991787
6021.0,PSMB3,0.99917835
2516.0,RPS3A,0.9991775
1910.0,MAP2K6,0.9991697
1805.0,FHL1,0.9991604
7008.0,KMT5A,0.99916005
5262.0,BEX2,0.9991462
12571.0,EYS,0.99914134
4158.0,MED21,0.9991394
2218.0,UBC,0.99912554
1270.0,LRP6,0.9991235
6973.0,NEO1,0.9991185
9102.0,S100A16,0.9991129
95.0,IGFBP3,0.9991123
2085.0,RPL31,0.9991047
